identity,name,data_nascimento,cpf,nome_mae
898.202.793-22@done.msg.net,Jaqueline,null,348.726.457-01,null
689.250.075-83@done.msg.net,Owen,null,null,null
654.223.427-83@done.msg.net,Dean,null,null,null
724.002.019-39@done.msg.net,Elliott,null,null,null
219.368.473-59@done.msg.net,Nasir,null,null,null
365.262.371-22@done.msg.net,Sarina,03/03/2024,752.098.062-32,Wyman
480.138.879-77@done.msg.net,Keenan,null,889.283.661-82,null
372.758.087-68@done.msg.net,Ronny,null,null,null
779.125.317-75@done.msg.net,Abel,null,null,null
246.321.568-66@done.msg.net,Arlo,14/08/2023,544.671.819-72,Herminia
264.827.412-21@done.msg.net,Gloria,null,null,null
550.189.980-93@done.msg.net,Lempi,null,null,null
097.003.828-36@done.msg.net,Triston,null,null,null
082.402.554-44@done.msg.net,Gussie,null,null,null
038.484.883-33@done.msg.net,Julianne,null,null,null
649.592.477-19@done.msg.net,Cesar,null,null,null
370.228.552-39@done.msg.net,Isabell,null,null,null
537.771.374-58@done.msg.net,Mackenzie,null,null,null
823.897.006-42@done.msg.net,Keara,null,null,null
847.086.649-17@done.msg.net,Shirley,null,null,null
631.537.190-47@done.msg.net,Lionel,null,null,null
882.993.166-39@done.msg.net,Haley,null,null,null
502.217.795-14@done.msg.net,Mable,null,null,null
032.989.533-84@done.msg.net,Holden,null,null,null
162.805.779-45@done.msg.net,Chauncey,null,null,null
751.945.465-42@done.msg.net,Chelsea,03/01/2024,856.448.297-10,Emory
472.752.008-16@done.msg.net,Eulalia,null,null,null
243.629.403-07@done.msg.net,Gudrun,null,null,null
565.460.370-94@done.msg.net,Jed,null,null,null
809.593.326-98@done.msg.net,Freeman,null,null,null
293.032.415-72@done.msg.net,Christ,null,null,null
773.016.030-93@done.msg.net,Alejandrin,null,null,null
297.220.402-68@done.msg.net,Damion,null,null,null
400.281.128-62@done.msg.net,Dominique,null,null,null
747.115.130-66@done.msg.net,Bella,null,null,null
895.032.910-49@done.msg.net,Tressa,null,null,null
917.036.712-96@done.msg.net,Janelle,null,null,null
073.354.520-78@done.msg.net,Vern,12/02/2024,421.310.305-22,Ayana
306.399.021-00@done.msg.net,Mallie,null,null,null
585.870.844-79@done.msg.net,Adam,null,null,null
229.491.766-40@done.msg.net,Yasmin,null,null,null
036.391.415-12@done.msg.net,Beau,null,null,null
506.981.956-62@done.msg.net,Lonny,null,null,null
668.554.326-24@done.msg.net,Maybell,13/02/2024,433.856.352-19,Libbie
629.173.194-37@done.msg.net,Karolann,null,null,null
928.581.255-24@done.msg.net,Fannie,null,253.405.362-36,null
767.508.365-39@done.msg.net,Sigrid,null,682.224.469-86,null
610.611.937-69@done.msg.net,Althea,null,null,null
974.561.327-33@done.msg.net,Chad,null,null,null
457.689.662-77@done.msg.net,Madalyn,null,null,null
698.553.308-54@done.msg.net,Dakota,null,null,null
192.003.340-51@done.msg.net,Tomasa,null,null,null
857.759.353-46@done.msg.net,Nia,null,null,null
466.579.597-44@done.msg.net,Loyal,null,null,null
961.532.762-88@done.msg.net,Milford,null,null,null
805.735.744-80@done.msg.net,Crystal,null,null,null
345.016.519-49@done.msg.net,Vilma,14/03/2024,792.659.979-27,Ilene
648.734.164-17@done.msg.net,Ozella,null,null,null
125.819.465-63@done.msg.net,Orie,08/01/2024,325.158.814-28,Jaunita
766.340.225-70@done.msg.net,Arturo,null,null,null
437.191.486-56@done.msg.net,Jose,null,null,null
993.296.217-62@done.msg.net,Winifred,null,null,null
537.098.767-69@done.msg.net,Rhoda,null,441.576.411-31,null
095.042.360-45@done.msg.net,Joyce,null,null,null
253.490.143-64@done.msg.net,Hobart,null,629.100.111-89,null
020.796.001-52@done.msg.net,Esteban,null,null,null
932.578.069-19@done.msg.net,Joshuah,28/04/2024,819.405.321-77,Alford
051.134.416-98@done.msg.net,Drew,null,null,null
700.663.199-85@done.msg.net,Abdul,null,null,null
801.862.758-20@done.msg.net,Gunnar,null,null,null
606.996.604-05@done.msg.net,Emilio,null,null,null
889.221.543-42@done.msg.net,Lilla,null,null,null
231.775.767-20@done.msg.net,Donato,null,846.355.442-30,null
941.371.099-32@done.msg.net,Stephany,null,null,null
938.045.650-59@done.msg.net,Henriette,null,null,null
233.766.542-28@done.msg.net,Grace,null,null,null
057.977.191-88@done.msg.net,Salvatore,null,null,null
199.348.586-87@done.msg.net,Jean,null,null,null
749.235.407-36@done.msg.net,Gladys,null,null,null
322.364.453-76@done.msg.net,Moshe,null,null,null
685.845.980-45@done.msg.net,Tatyana,null,null,null
214.840.387-31@done.msg.net,Dorris,29/12/2023,304.720.183-41,Audrey
874.840.489-40@done.msg.net,Adolphus,null,null,null
875.726.821-85@done.msg.net,Citlalli,null,null,null
763.687.803-45@done.msg.net,Luther,null,null,null
230.164.128-18@done.msg.net,Uriah,null,null,null
841.688.775-43@done.msg.net,Ashleigh,null,null,null
613.697.144-62@done.msg.net,Kyra,null,null,null
852.252.707-69@done.msg.net,Felipe,null,null,null
051.345.292-87@done.msg.net,Caden,null,null,null
463.135.187-38@done.msg.net,Eliza,null,null,null
100.089.344-66@done.msg.net,Adrianna,null,null,null
951.274.321-71@done.msg.net,Sonny,null,null,null
272.628.349-09@done.msg.net,Julian,null,null,null
242.045.561-26@done.msg.net,Peyton,null,null,null
467.147.971-95@done.msg.net,Hayley,null,null,null
283.931.493-81@done.msg.net,Leone,11/07/2023,191.205.401-06,Evan
225.843.288-71@done.msg.net,Claire,null,null,null
694.901.691-91@done.msg.net,Marjolaine,null,null,null
455.539.728-50@done.msg.net,Brown,21/02/2024,425.790.138-57,Haley
700.567.610-44@done.msg.net,Chasity,null,null,null
133.582.760-46@done.msg.net,Rupert,null,null,null
925.407.205-51@done.msg.net,George,null,null,null
119.601.282-12@done.msg.net,Edwardo,null,null,null
672.305.448-93@done.msg.net,Soledad,null,null,null
056.961.878-08@done.msg.net,Jimmie,null,null,null
004.062.155-76@done.msg.net,Wyman,null,null,null
515.451.155-82@done.msg.net,Jovan,null,null,null
986.029.859-19@done.msg.net,Vivien,null,null,null
518.467.159-39@done.msg.net,Guido,null,null,null
364.234.756-32@done.msg.net,Eleanore,null,null,null
507.889.139-70@done.msg.net,Cayla,null,null,null
683.064.033-35@done.msg.net,Elenor,null,null,null
805.610.094-67@done.msg.net,Berniece,null,null,null
756.161.079-80@done.msg.net,Lucile,18/05/2024,693.904.616-29,Roma
848.322.240-14@done.msg.net,Marc,null,902.722.025-80,null
746.555.129-73@done.msg.net,Reinhold,null,null,null
026.534.374-99@done.msg.net,Rowan,null,288.889.684-49,null
394.009.061-37@done.msg.net,Rashawn,null,null,null
660.938.369-60@done.msg.net,Rigoberto,null,null,null
625.541.864-22@done.msg.net,Kelsi,null,325.916.051-76,null
403.512.031-57@done.msg.net,Hermann,null,null,null
340.121.587-53@done.msg.net,Carissa,null,null,null
551.695.083-40@done.msg.net,Carmen,null,null,null
008.918.514-46@done.msg.net,Liliane,null,null,null
566.764.488-33@done.msg.net,Raheem,null,null,null
909.652.748-22@done.msg.net,Cecilia,null,null,null
691.068.527-40@done.msg.net,Geovany,23/11/2023,445.596.179-60,Christelle
572.077.548-48@done.msg.net,Oswald,null,null,null
367.579.559-80@done.msg.net,Glenna,null,null,null
400.733.349-41@done.msg.net,Candice,null,null,null
440.077.647-95@done.msg.net,Helena,null,null,null
824.979.685-20@done.msg.net,Kylie,null,null,null
286.049.316-04@done.msg.net,Jessie,null,null,null
544.040.927-47@done.msg.net,Zelma,null,null,null
462.584.011-46@done.msg.net,Candelario,null,null,null
630.392.690-79@done.msg.net,Jaylon,null,null,null
522.197.714-74@done.msg.net,Angela,null,null,null
963.704.780-30@done.msg.net,Roscoe,null,null,null
597.779.688-57@done.msg.net,Sister,24/12/2023,019.926.691-57,Danyka
982.047.189-46@done.msg.net,Ralph,null,null,null
158.890.683-07@done.msg.net,Orlando,null,null,null
433.815.598-57@done.msg.net,Osvaldo,null,null,null
899.913.987-40@done.msg.net,Westley,null,null,null
915.207.370-27@done.msg.net,Alberta,null,null,null
777.811.007-28@done.msg.net,Geraldine,null,null,null
545.602.742-26@done.msg.net,Karine,null,null,null
676.317.522-72@done.msg.net,Rollin,15/02/2024,418.393.190-01,Lucinda
985.423.432-06@done.msg.net,Darien,null,null,null
327.371.383-13@done.msg.net,Ned,null,378.323.259-98,null
671.524.345-77@done.msg.net,Madisyn,null,null,null
166.234.115-07@done.msg.net,Virgil,null,null,null
051.685.493-83@done.msg.net,Julian,null,null,null
358.834.341-20@done.msg.net,Jaunita,null,null,null
046.527.433-53@done.msg.net,Monica,30/09/2023,773.565.671-01,Haskell
551.309.453-71@done.msg.net,Vesta,null,null,null
310.038.543-19@done.msg.net,Hobart,null,null,null
608.177.375-09@done.msg.net,Rosetta,null,null,null
655.059.016-77@done.msg.net,Dortha,null,null,null
229.889.704-14@done.msg.net,Clementine,null,688.276.499-95,null
570.275.285-39@done.msg.net,Patrick,null,null,null
989.708.384-30@done.msg.net,Shemar,null,null,null
322.649.173-74@done.msg.net,Lavon,06/12/2023,540.205.932-01,Burley
073.289.427-76@done.msg.net,Alena,null,null,null
309.035.768-72@done.msg.net,Alice,14/12/2023,288.350.150-84,Florida
641.407.398-89@done.msg.net,Tanya,null,null,null
404.272.583-06@done.msg.net,Alda,null,null,null
347.128.449-27@done.msg.net,Jarrod,null,564.419.007-92,null
148.077.856-06@done.msg.net,Magnus,null,null,null
747.902.724-73@done.msg.net,Valentine,null,null,null
668.972.549-70@done.msg.net,Clint,30/11/2023,205.141.306-90,Laurine
086.202.499-56@done.msg.net,Travon,null,null,null
778.666.435-19@done.msg.net,Afton,null,null,null
313.213.930-17@done.msg.net,Lulu,24/12/2023,135.724.827-64,Brant
276.120.463-28@done.msg.net,Mabel,null,null,null
999.771.653-10@done.msg.net,Max,null,null,null
221.597.096-74@done.msg.net,Alfonso,null,881.616.317-61,null
549.845.157-97@done.msg.net,Dedrick,14/12/2023,840.187.574-16,Rodger
368.189.616-43@done.msg.net,Lucile,null,null,null
056.052.176-13@done.msg.net,Cortney,null,null,null
333.044.306-31@done.msg.net,Jaylen,null,null,null
336.660.241-82@done.msg.net,Brandy,null,null,null
008.043.570-87@done.msg.net,Rahsaan,null,null,null
705.414.170-74@done.msg.net,Harrison,null,null,null
703.731.025-55@done.msg.net,Kevon,null,null,null
212.317.798-00@done.msg.net,Kenyon,null,null,null
758.067.440-55@done.msg.net,Shanny,null,null,null
140.592.498-89@done.msg.net,Maximillia,null,null,null
051.982.713-26@done.msg.net,Pearlie,null,null,null
569.746.676-73@done.msg.net,Stuart,null,null,null
298.303.338-28@done.msg.net,Abbey,11/11/2023,740.665.395-93,Manuel
165.696.887-35@done.msg.net,Esteban,null,439.912.907-53,null
705.601.205-29@done.msg.net,Lawson,null,null,null
224.507.631-82@done.msg.net,Dawn,null,null,null
748.250.466-23@done.msg.net,Beaulah,22/09/2023,988.124.042-44,Guillermo
788.537.691-78@done.msg.net,Viola,null,null,null
435.644.918-36@done.msg.net,Einar,null,null,null
663.300.697-99@done.msg.net,Lue,null,null,null
422.585.321-35@done.msg.net,Ericka,null,null,null
095.061.559-48@done.msg.net,Lillie,null,null,null
678.928.810-49@done.msg.net,Abbigail,null,null,null
600.361.503-58@done.msg.net,Percy,null,null,null
873.196.969-98@done.msg.net,Theo,null,null,null
763.843.909-49@done.msg.net,Andres,null,null,null
363.231.153-21@done.msg.net,Iliana,null,null,null
371.425.704-08@done.msg.net,Van,null,null,null
755.091.099-13@done.msg.net,Laney,null,null,null
262.859.957-22@done.msg.net,Gennaro,06/10/2023,163.952.872-58,Sierra
577.749.240-73@done.msg.net,Jaylen,null,null,null
690.047.734-85@done.msg.net,Ora,null,null,null
101.143.253-24@done.msg.net,Jack,null,null,null
535.937.087-92@done.msg.net,Reina,null,null,null
841.187.972-25@done.msg.net,Alysa,null,982.784.271-83,null
161.258.468-24@done.msg.net,Odessa,null,null,null
766.269.074-11@done.msg.net,Maybell,null,null,null
404.639.335-63@done.msg.net,Lelia,18/01/2024,920.829.693-80,Luciano
210.599.264-98@done.msg.net,Arnulfo,null,null,null
092.962.166-61@done.msg.net,Maritza,null,null,null
841.061.228-99@done.msg.net,Kattie,25/11/2023,212.753.050-52,Tressie
662.910.561-61@done.msg.net,Ervin,null,null,null
608.609.779-71@done.msg.net,Ruthie,null,null,null
099.996.627-98@done.msg.net,Chaz,null,null,null
349.589.044-47@done.msg.net,Emory,null,null,null
368.141.678-18@done.msg.net,Jace,null,null,null
671.024.292-61@done.msg.net,Elliott,null,null,null
676.704.056-03@done.msg.net,Garry,null,440.780.313-74,null
098.274.247-47@done.msg.net,Berniece,null,null,null
307.212.253-44@done.msg.net,Bertha,null,null,null
043.010.818-66@done.msg.net,Hipolito,25/09/2023,931.771.916-63,Aditya
986.941.363-76@done.msg.net,Dominique,null,573.862.419-94,null
528.192.573-09@done.msg.net,Annette,null,null,null
193.267.977-05@done.msg.net,Shemar,null,null,null
252.391.249-40@done.msg.net,Cordia,null,null,null
039.563.069-51@done.msg.net,Tina,null,null,null
136.381.471-59@done.msg.net,Eddie,null,null,null
784.699.275-16@done.msg.net,Keara,null,928.871.681-56,null
608.225.738-04@done.msg.net,Asha,null,null,null
500.958.378-14@done.msg.net,Sierra,08/12/2023,636.502.291-38,Judd
182.106.822-39@done.msg.net,Justen,19/02/2024,896.428.333-58,Kamren
694.741.977-62@done.msg.net,Meggie,null,null,null
679.887.747-05@done.msg.net,Danyka,null,null,null
315.814.765-05@done.msg.net,Mayra,null,null,null
585.264.985-65@done.msg.net,Etha,null,null,null
818.416.269-97@done.msg.net,Demarco,null,null,null
926.253.198-23@done.msg.net,General,null,null,null
843.467.591-72@done.msg.net,Torrey,null,null,null
110.010.688-55@done.msg.net,Rogelio,null,null,null
207.134.345-68@done.msg.net,Korbin,null,null,null
629.312.783-79@done.msg.net,Candice,28/01/2024,946.255.709-06,Nat
768.898.042-12@done.msg.net,Jess,null,null,null
542.322.158-41@done.msg.net,Michale,null,null,null
224.230.652-42@done.msg.net,Germaine,null,null,null
316.658.112-26@done.msg.net,Zola,null,967.537.761-17,null
807.559.072-73@done.msg.net,Bernardo,null,190.745.875-62,null
855.071.357-44@done.msg.net,Dion,null,null,null
478.693.905-33@done.msg.net,Trycia,null,null,null
060.363.958-17@done.msg.net,Sadye,null,null,null
656.768.209-76@done.msg.net,Adaline,null,null,null
470.390.044-21@done.msg.net,Ramona,null,null,null
300.046.542-07@done.msg.net,Darren,null,null,null
393.976.536-08@done.msg.net,Danielle,null,null,null
238.952.034-22@done.msg.net,Lydia,null,null,null
275.359.480-07@done.msg.net,Chad,null,null,null
647.467.725-22@done.msg.net,Margaret,null,null,null
165.550.359-97@done.msg.net,Herminio,null,null,null
605.206.707-11@done.msg.net,Maximillian,null,null,null
509.448.094-12@done.msg.net,Sydnie,null,null,null
146.897.436-91@done.msg.net,Haven,null,648.308.287-50,null
839.766.434-04@done.msg.net,Jaron,null,null,null
931.694.261-91@done.msg.net,Nelson,null,null,null
973.455.788-84@done.msg.net,Andreane,null,null,null
863.041.601-94@done.msg.net,Daisha,null,null,null
983.731.778-35@done.msg.net,Alba,null,null,null
560.871.445-35@done.msg.net,Coleman,null,null,null
286.261.525-56@done.msg.net,Camila,null,null,null
777.396.528-43@done.msg.net,Caterina,null,null,null
600.721.184-91@done.msg.net,Gerry,null,null,null
211.094.396-48@done.msg.net,Reynold,null,null,null
066.875.589-85@done.msg.net,Raoul,null,null,null
757.331.312-74@done.msg.net,Abby,27/03/2024,680.433.889-29,Ally
929.667.479-65@done.msg.net,Santos,null,null,null
166.719.372-81@done.msg.net,Rashawn,null,null,null
263.654.454-94@done.msg.net,Bernita,null,null,null
078.367.304-77@done.msg.net,Sydnie,null,null,null
316.549.182-70@done.msg.net,Lillie,null,null,null
521.024.259-31@done.msg.net,Alysa,null,null,null
137.409.396-33@done.msg.net,Evans,null,null,null
247.957.130-46@done.msg.net,Marcel,null,null,null
555.207.299-57@done.msg.net,Alan,null,null,null
691.932.976-90@done.msg.net,Kayleigh,null,null,null
412.490.273-32@done.msg.net,Tanya,30/05/2024,105.069.233-90,Elinor
739.960.301-23@done.msg.net,Raphael,null,null,null
234.327.834-94@done.msg.net,Ilene,null,null,null
569.874.745-72@done.msg.net,Antonio,null,null,null
470.629.739-23@done.msg.net,Dorthy,null,null,null
811.551.205-65@done.msg.net,Albertha,null,null,null
986.470.753-08@done.msg.net,Guido,null,null,null
387.661.891-98@done.msg.net,Lee,null,null,null
549.635.080-68@done.msg.net,Lora,null,null,null
221.306.586-32@done.msg.net,Darwin,null,null,null
180.891.853-56@done.msg.net,Elissa,null,null,null
187.977.951-37@done.msg.net,Brionna,null,null,null
432.550.211-30@done.msg.net,Rudolph,null,null,null
920.750.765-07@done.msg.net,Kamille,null,null,null
175.405.409-12@done.msg.net,Roderick,null,null,null
112.957.244-02@done.msg.net,Scotty,null,380.263.738-79,null
526.123.223-04@done.msg.net,Sheila,null,null,null
196.840.384-36@done.msg.net,Joseph,null,073.917.317-32,null
354.775.651-06@done.msg.net,Eldon,null,null,null
020.380.973-28@done.msg.net,Eve,null,755.239.681-16,null
266.138.196-90@done.msg.net,Minerva,null,null,null
239.233.960-28@done.msg.net,Mckenzie,null,null,null
583.872.946-10@done.msg.net,Rebecca,null,null,null
852.181.106-89@done.msg.net,Linnie,null,null,null
321.655.681-56@done.msg.net,Matt,null,null,null
985.555.995-49@done.msg.net,Doyle,null,null,null
428.350.134-96@done.msg.net,Rodrick,null,null,null
630.575.289-18@done.msg.net,Delphia,null,null,null
072.550.376-83@done.msg.net,Dion,null,null,null
264.283.210-48@done.msg.net,Fausto,null,null,null
397.796.367-95@done.msg.net,Elisabeth,null,null,null
173.812.255-21@done.msg.net,Christa,21/03/2024,437.233.686-36,Ethel
929.017.272-22@done.msg.net,Cleora,null,null,null
200.078.410-15@done.msg.net,Willa,null,null,null
447.950.409-86@done.msg.net,Malachi,null,null,null
696.034.310-50@done.msg.net,Kirstin,null,null,null
263.518.952-04@done.msg.net,Guillermo,null,null,null
659.424.947-42@done.msg.net,Estella,null,null,null
899.519.189-56@done.msg.net,Marilie,null,null,null
000.221.603-92@done.msg.net,Itzel,null,null,null
987.030.596-46@done.msg.net,Akeem,09/01/2024,842.647.131-89,Werner
119.168.596-02@done.msg.net,Napoleon,null,null,null
071.430.480-47@done.msg.net,Rudy,null,938.233.616-89,null
426.457.644-03@done.msg.net,Meagan,null,null,null
280.031.951-44@done.msg.net,Lysanne,null,null,null
853.502.228-81@done.msg.net,Esta,null,null,null
665.292.486-97@done.msg.net,Eleonore,null,null,null
731.965.943-90@done.msg.net,Reba,null,null,null
640.785.964-75@done.msg.net,Mozelle,15/04/2024,668.756.065-08,Gonzalo
112.700.044-40@done.msg.net,null,null,null,null
933.060.000-95@done.msg.net,Darlene,null,null,null
405.904.814-68@done.msg.net,Hermann,null,457.681.682-91,null
924.412.344-20@done.msg.net,Emelia,null,null,null
387.012.009-55@done.msg.net,Claud,null,null,null
607.595.711-18@done.msg.net,Jamel,null,null,null
051.884.373-01@done.msg.net,Dorris,null,null,null
302.437.768-42@done.msg.net,Caterina,null,null,null
694.910.390-98@done.msg.net,Hubert,null,null,null
945.683.682-12@done.msg.net,Malcolm,null,null,null
997.139.677-83@done.msg.net,Zoie,null,null,null
078.007.353-48@done.msg.net,Shemar,null,469.702.498-58,null
726.689.036-04@done.msg.net,Agustina,null,null,null
552.668.104-34@done.msg.net,Margot,null,null,null
648.414.584-19@done.msg.net,Meta,null,921.553.764-24,null
859.127.180-34@done.msg.net,Treva,null,null,null
422.684.962-99@done.msg.net,Colby,null,null,null
809.638.840-61@done.msg.net,Geraldine,null,null,null
781.607.271-88@done.msg.net,Darren,null,551.885.596-12,null
951.393.971-05@done.msg.net,Ena,null,null,null
290.779.005-60@done.msg.net,Trinity,null,043.475.994-79,null
037.424.768-72@done.msg.net,Francisca,null,null,null
537.713.578-52@done.msg.net,Millie,null,null,null
244.970.457-53@done.msg.net,Crystel,null,805.829.733-30,null
420.590.048-72@done.msg.net,Osbaldo,null,543.973.788-91,null
096.797.483-22@done.msg.net,Opal,null,null,null
275.391.069-20@done.msg.net,Simone,null,null,null
712.269.506-92@done.msg.net,Blake,null,null,null
737.629.325-88@done.msg.net,Joesph,null,916.716.197-85,null
930.854.137-28@done.msg.net,Mazie,null,286.474.725-78,null
483.442.358-44@done.msg.net,Else,null,null,null
413.541.800-64@done.msg.net,Eduardo,null,null,null
192.265.006-98@done.msg.net,Kris,null,null,null
804.929.790-26@done.msg.net,Mae,null,null,null
893.876.377-70@done.msg.net,Quinton,07/12/2023,009.185.584-66,River
127.728.001-38@done.msg.net,Marshall,null,null,null
782.071.624-45@done.msg.net,Grant,null,null,null
297.196.442-07@done.msg.net,Austyn,null,null,null
494.622.233-64@done.msg.net,Corbin,null,null,null
473.666.916-75@done.msg.net,Stephania,null,677.901.275-92,null
843.325.238-47@done.msg.net,Verna,null,526.434.684-43,null
051.469.739-06@done.msg.net,Kraig,null,null,null
955.974.593-48@done.msg.net,Evelyn,null,545.017.426-16,null
740.882.834-63@done.msg.net,Ruby,null,868.405.918-86,null
767.195.358-56@done.msg.net,Jaida,null,null,null
340.931.198-46@done.msg.net,Claudia,null,null,null
761.051.112-04@done.msg.net,Joshuah,null,542.229.686-70,null
178.380.142-76@done.msg.net,Gussie,null,null,null
