identity,id_pedido,produto,cliente,operadora,plan_name,plano,plano_description,plano_description_1,plano_tv,primeira_mensagem,primeira_mensagem_1,tag,application_identifier,auto_sku,canal,fila,identificador_pedido,modalidade,modalidade_1,opcao,pontos,portabilidade,price,price_avancado,prioridade,protocolo_wci,sku_tv,termo,tipo_fatura,vencimento_fatura
262.419.435-84@done.msg.net,null,adfectus,null,bene,adflicto,null,Undique barba verus suffragium succurro certus.,null,null,null,Ducimus auctor qui eaque cunae acsi.,null,y3Ki3307Hq7pIk__L1N_0,6,aspernatur,null,Lu2wpGZakpa-IowKfV1aP,charisma,null,null,null,null,816.00,null,7106493880991744,NteJTz_uOvFhyOaV5nYVw,null,null,null,null
305.517.219-91@done.msg.net,null,tabella,null,null,null,null,null,null,null,null,Aranea venustas certus vicinus argumentum vinum.,null,bX5jlYOFWvGGJgHX278r6,null,degusto,null,null,null,null,null,null,null,null,null,1518150529056768,40BhAYlXISp_of53y-dHn,null,null,null,null
694.625.732-64@done.msg.net,null,repudiandae,null,derideo,speculum,null,Adulescens harum voluptatem talus quibusdam infit tamen amita pecus.,null,null,null,Suus corrumpo tego.,null,iiMm3F_3iqXOFPOiaQj6W,1,beatae,null,bunhn2fV4zlTpkpwawQyi,tantillus,null,null,null,null,880.00,null,2992002660564992,E98_AqDa9rpJPjTIHDDtZ,null,null,centum,19/06/2024
351.548.416-97@done.msg.net,null,compono,null,null,comis,volaticus,Delectatio decretum tabula comes vulpes perferendis cimentarius incidunt vigilo molestiae.,null,null,null,Canto damno cuius delectatio varius tutamen comis.,null,nvb3zSTWekQtAZNidCHjK,2,vos,null,EZIle0Z5LIZfyLNMY1xuZ,null,null,null,null,tutis,257.00,null,5646060160548864,0H2AT2JfGETuJXMR2ihXr,null,null,turbo,19/06/2024
709.456.020-27@done.msg.net,null,demonstro,null,dolor,condico,null,Cubo debilito comis.,null,null,null,Vos rem celer deleniti solium.,null,sA6EpM4UdKJbF1sUTiSs9,6,canonicus,null,_-CHj4_t0xM7Zi-nFHeM5,cuppedia,null,null,null,null,441.00,null,2724842272980992,06qaYstQGwTz4HQ6B3EAw,null,null,capillus,19/06/2024
214.275.117-71@done.msg.net,null,audacia,null,null,null,null,null,null,null,null,Vae validus sortitus.,null,O1vradMeMtw0rBe8XQglp,null,tabesco,null,null,null,null,null,null,null,null,null,6565492437286912,YQT01lCF8O_rwSoU_WzYg,null,null,null,null
327.286.492-46@done.msg.net,null,desparatus,null,null,null,null,null,null,null,null,Soluta quam cruentus balbus talio deputo aureus acquiro certus.,null,zol8ZS7YL6Zk7Lv1bVUM_,null,sulum,null,null,null,null,null,null,null,null,null,3640278858596352,A1_qxYCcSLxXk7z_JHoI1,null,null,null,null
931.335.569-08@done.msg.net,null,depopulo,null,null,null,null,null,null,null,null,Est enim harum sodalitas ustilo civis.,null,_MqqloD9Rvh2WVGSRIQIv,null,avaritia,null,VLgf6G1EF1H9XfnyX0cxC,null,null,null,null,null,null,null,4200210437767168,b2Z1ddqH2Fw4WVUiPWg_9,null,null,null,null
634.813.368-76@done.msg.net,null,cibus,null,null,null,null,null,null,null,null,Spargo artificiose aeternus comes.,null,ClPOtoccTmn-qABKBM9ER,null,cicuta,null,null,null,null,null,null,null,null,null,7878327819829248,PEOpNGVXYX5Pd6MC2Zgw5,null,null,null,null
215.983.870-96@done.msg.net,null,claustrum,null,null,null,null,null,null,null,null,Alo sit statim causa demonstro atque absque deserunt.,null,a_BStN5AozhQ7qrpucb_T,null,agnitio,null,null,null,null,null,null,null,null,null,8990810341113856,2DU5N6im0_s2Hnzn_7dtX,null,null,null,null
941.351.837-41@done.msg.net,null,spes,null,null,null,null,null,null,null,null,Alioqui volubilis centum cedo infit derelinquo curso arcus uredo.,null,sPXM8MBWlMCdSGpSjMmYI,null,aliquam,null,null,null,null,null,null,null,null,null,5362320611999744,w74HQPPj5NEHayWM76ig_,null,null,null,null
295.856.387-46@done.msg.net,null,validus,null,null,null,null,null,null,null,null,Celebrer defungo tripudio arma thesaurus.,null,S3V3qPbn5093NmF_1vGHF,null,ater,null,GrsLCJlgIA2gcy5wsgA_n,null,null,null,null,null,null,null,2423168547422208,nSMCE5NtilwRAlHBkJUn2,null,null,null,null
663.522.218-40@done.msg.net,null,caecus,null,null,abeo,abscido,Ex accendo utrimque tenetur via adulatio aiunt.,null,null,null,Magnam sordeo suspendo exercitationem truculenter.,null,K1BX4nD7UazmjXw6tIyRA,5,arcesso,null,9azzN_5vsX9JF791Kuf9a,null,null,null,null,taedium,708.00,null,2323129372246016,mFyrpnWJXyx9i-7rBYvCA,null,null,vitae,19/06/2024
840.303.730-32@done.msg.net,null,hic,null,null,null,null,null,null,null,null,Umbra curtus vespillo peior causa vinitor creber minima dignissimos conventus.,null,qsml15ZAoABQ-b3afp-Zc,null,ustilo,null,null,null,null,null,null,null,null,null,28215110270976,jkkzy_m5318_4pooqa5PE,null,null,null,null
728.408.720-10@done.msg.net,null,ad,null,null,tumultus,null,Supplanto abduco crepusculum patruus animadverto minus.,null,null,null,Viscus quis modi.,null,bmJpjxBKp287ASLXYi1jl,9,solutio,null,YkqcIT09OKNhf6ZmZ1ZFy,adhaero,null,null,null,null,875.00,null,1266832845570048,PwMDLhY9ZL5WFrxz-MqAD,null,null,audax,19/06/2024
454.117.710-61@done.msg.net,null,altus,null,auditor,temptatio,null,Auditor comminor sequi suppono.,null,null,null,Tabula arbustum vel corporis quaerat stabilis paulatim.,null,KLPnlvFDVWw-QXOfN312v,4,commodo,null,-GOAB3Msb8cem7dPcZjPM,vox,null,null,null,null,912.00,null,6117245293953024,tneZ-HHMuuJUekSVWacQb,null,null,cilicium,19/06/2024
789.016.323-16@done.msg.net,null,sulum,null,null,null,null,null,null,null,null,Tabella spoliatio quod templum vobis arguo caritas attollo.,null,MxXJzoWWUHEOrx2-bzL_l,null,denique,null,LLDDZ6moKu-xErd--ClEr,null,null,null,null,null,null,null,7519804327985152,CI0UEGmhiIx2P6NT4V5Gv,null,null,null,null
611.576.269-22@done.msg.net,null,careo,null,null,null,null,null,null,null,null,Aurum artificiose creber quis acceptus.,null,I6Xjy320T6-DBMQHmpAht,null,tabesco,null,Po0OZk6_1R03VnSzXPEtB,null,null,null,null,null,null,null,5040981149745152,H5WZVxGi2OzdWit_2oQVd,null,null,null,null
927.219.814-90@done.msg.net,null,cunabula,null,null,null,null,null,null,null,null,Adulescens aestas aspicio vulariter tamquam coadunatio atqui adipisci trepide.,null,vkHBDMGOJiyN4dUVP9eIm,null,damnatio,null,null,null,null,null,null,null,null,null,3441444916297728,6dQVXhQRdOIiJyqkGjUbH,null,null,null,null
806.426.418-25@done.msg.net,null,dolore,null,null,null,null,null,null,null,null,Crapula synagoga ab occaecati vomito vae.,null,3Ynj_X8XXRuW4nXiJEDdZ,null,vivo,null,NAQ4A6rSggDzTri74Hs9i,null,null,null,null,null,null,null,8922687223103488,_EndH6dgsy7ws_y94AVvB,null,null,null,null
965.611.799-78@done.msg.net,null,aestivus,null,null,null,null,null,null,null,null,Arcesso tot vicissitudo quos.,null,s7C8gNu8hUnAV_G-3ogZe,null,appello,null,null,null,null,null,null,null,null,null,1837134702968832,cPFYnKDzQVOWFG0vM2Zfd,null,null,null,null
137.842.388-22@done.msg.net,null,cursus,null,null,null,null,null,null,null,null,Damno conventus collum possimus soleo stabilis creo.,null,WGmxNk23c-3qWZgSSt8c4,null,cervus,null,null,null,null,null,null,null,null,null,5540396952190976,HK9jiCniWqmCs7cbKUVut,null,null,null,null
586.253.401-11@done.msg.net,null,thymbra,null,null,null,null,null,null,null,null,Denego super comptus depromo illo decumbo caries canto vehemens.,null,Iiy99g4fMsjet3GwWG35K,null,defluo,null,null,null,null,null,null,null,null,null,5248503963975680,zzS9vyKGfNKIr1vEwDPtQ,null,null,null,null
305.268.902-64@done.msg.net,null,clementia,null,null,null,null,null,null,null,null,Amet conculco cinis dens casus voveo uredo voluptates uberrime.,null,pKZBV593UQu-9KFCqWApN,null,quod,null,null,null,null,null,null,null,null,null,6478735398141952,zN7ueeQazhDA2CQc-uLeI,null,null,null,null
688.316.466-19@done.msg.net,null,candidus,null,null,null,null,null,null,null,null,Aspicio unde considero.,null,t77NN3ESKCDHCEbb8EYUR,null,colligo,null,null,null,null,null,null,null,null,null,281156255744000,Sy6beDFszGxR6gxhip9-v,null,null,null,null
920.540.464-58@done.msg.net,null,aufero,null,null,null,null,null,null,null,null,Quibusdam tot bestia.,null,-nsgSo5iBmNsB8XNq8WJ0,null,suppellex,null,null,null,null,null,null,null,null,null,6175386377388032,xVtliW-Ky0ioSgwH5RP2h,null,null,null,null
830.317.011-94@done.msg.net,null,verumtamen,null,null,null,null,null,null,null,null,Circumvenio impedit timor vilis ventito decimus.,null,faW8d8WbqL2z0WM8NHbmD,null,cariosus,null,5KXMlx5ptiktZRKHDimnA,null,null,null,null,null,null,null,2049033619111936,6jpZ0IdRzhHaUJSFvcuVw,null,null,null,null
676.228.367-13@done.msg.net,null,conitor,null,null,null,null,null,null,null,null,Suppono sumo cenaculum cotidie.,null,pU1z4kRjbb3SoUXiD-4ol,null,bene,null,XA2HrsDk_Um25OVlmqKZn,null,null,null,null,null,null,null,2396137956835328,QKUQWzkoI2xPrNv5A7z5M,null,null,null,null
836.321.440-14@done.msg.net,null,recusandae,null,null,terebro,subseco,Venio decerno commodi crinis sol magni nihil assentator stella.,null,null,null,Vulgus at vesica.,null,PxFnqXTCOpEmUm4HwCVnF,3,vester,null,JScOnqKDyGXGyp-lDjyPX,null,null,null,null,soleo,682.00,null,1837795851108352,gy8KPnEQm_9EW5vb4qio4,null,null,null,null
164.937.294-36@done.msg.net,null,alo,null,null,null,null,null,null,null,null,Benevolentia cupiditate complectus somniculosus clamo.,null,QZAdXFKoT84fncY6CDgZz,null,victus,null,null,null,null,null,null,null,null,null,5872446831853568,bzP2pUhoqx1XrKN-StawW,null,null,null,null
080.081.722-18@done.msg.net,null,blandior,null,cohaero,adflicto,null,Una defleo volo cogito auctor itaque repellendus similique comis omnis.,null,null,null,Cultellus commemoro vel vereor bonus audeo.,null,ViPCJS91ayJqC-9GoUEsT,4,accedo,null,NTZqPR5MrQE2UnHVSSlKR,benigne,null,null,null,null,228.00,null,2801146068467712,5jT13fisMBMks9gatkpmk,null,null,brevis,19/06/2024
627.966.360-93@done.msg.net,null,vestrum,null,basium,abduco,null,Utilis trado commemoro carpo aiunt tredecim sequi animadverto.,null,null,null,Spiculum ter aestivus.,null,UKpikD2og_bziX1G70s-Y,7,texo,null,PxFnoaOkNsTKtWXhDemKm,subnecto,null,suffragium,null,null,738.00,null,613642313662464,0xlJgaEfBwUWYEc6N2CWq,null,null,brevis,19/06/2024
043.837.164-18@done.msg.net,null,termes,null,esse,repellendus,accommodo,Esse vilicus hic dolorem vos vinculum.,null,null,null,Minima demo volubilis derideo.,null,HeSYQC6ZO3OKi5vx_NFXq,5,corroboro,null,cx8tCkOgmSk6CkWDfOuJd,caritas,null,null,null,utor,850.00,null,2694836765327360,bmrM7-RFj8aJlnvmgUEp1,null,null,enim,19/06/2024
547.263.478-01@done.msg.net,null,tyrannus,null,null,null,null,null,null,null,null,Theca amaritudo ultra timidus desino amissio.,null,ZSCBArrukVrZ-k6PSHTXs,null,torqueo,null,null,null,null,null,null,null,null,null,8804270178566144,exSsaavsueZnZmKqVN8lC,null,null,null,null
434.390.185-88@done.msg.net,null,trado,null,null,null,null,null,null,null,null,Advoco ciminatio comitatus vomito.,null,9DeMHarq-yhLWBDwTOER9,null,abutor,null,null,null,null,null,null,null,null,null,7059982929362944,7l2321p4in_Yc3ceEAztc,null,null,null,null
882.694.043-15@done.msg.net,null,centum,null,null,null,null,null,null,null,null,Deinde tactus tergiversatio avaritia administratio allatus animi.,null,113rQShjIFbdDPgciCQqM,null,ars,null,null,null,null,null,null,null,null,null,8475466763599872,Lk-XFdwuajVSn7gNJgFAq,null,null,null,null
732.943.606-19@done.msg.net,null,apud,null,null,null,null,null,null,null,null,Pecto subvenio adnuo amplus dolorem adeo eaque.,null,u_M1A8vTbN1oHwaw2G9Uf,null,cohaero,null,uZueJ1Oy0cF3P-LnK2Mts,null,null,null,null,null,null,null,2106351853502464,W4po9dE_YV_ZKCKBvV069,null,null,null,null
932.767.329-95@done.msg.net,null,aiunt,null,null,null,null,null,null,null,null,Tonsor atque aer currus corrigo tergum calculus deprimo.,null,3mVYL1e8FvBrQ6CZ4n7MX,null,dolorum,null,null,null,null,null,null,null,null,null,746562762309632,0OTx1nRGuajzgA1euFPKH,null,null,null,null
734.404.197-64@done.msg.net,null,complectus,null,alius,aer,null,Viscus thema pariatur.,null,null,null,Decet beneficium comminor talio ventito defleo votum.,null,FfK-G8xNgp2NEJ2MobqIU,6,sumptus,null,hoBvoAvGMmP7FkDbct0DH,thermae,null,null,null,null,258.00,null,4018099502186496,DX8Q2_sGwzCY9CLhyJFv0,null,null,super,18/06/2024
836.624.918-65@done.msg.net,null,depraedor,null,null,null,null,null,null,null,null,Blanditiis vulariter delinquo depromo.,null,YX9hGl9g0Rjq9FPK_E7VW,null,communis,null,null,null,null,null,null,null,null,null,754094627094528,mEUHMOE4XI5Ceye4NIyIm,null,null,null,null
340.241.377-57@done.msg.net,null,carmen,null,null,null,null,null,null,null,null,Summa consuasor colligo auditor averto vitae derideo.,null,XNY5V_YLB1EWSpkjHO5dj,null,ut,null,null,null,null,null,null,null,null,null,7482320441311232,9cb0kKOvcUeE3OeFW7noR,null,null,null,null
369.442.203-23@done.msg.net,null,vicissitudo,null,terebro,pax,sui,Viduo admoneo vinculum conturbo claudeo.,null,null,null,Terga clam territo audeo eveniet bellicus vorago claro corrumpo taedium.,vitiosus,5h20dFtpqnZTwgCDgeYQS,9,aurum,null,f55l4kHt60qfybVV-VQKa,tamen,null,null,null,illo,366.00,null,884943999729664,shyecxk-OAXa678rJB8mI,null,null,solum,19/06/2024
697.688.144-17@done.msg.net,null,sub,null,null,null,null,null,null,null,null,Comedo adsum campana assentator abbas occaecati cibus.,null,QEdqYUxLRXVLOygjaU_sA,null,adsidue,null,null,null,null,null,null,null,null,null,1645475123953664,G6V12PxZFZ_y9x8hMRdZV,null,null,null,null
922.166.977-08@done.msg.net,null,depereo,null,null,null,null,null,null,null,null,Tenuis adinventitias traho.,null,_y5pS5_Ro9DSKbkoOC5u2,null,blandior,null,null,null,null,null,null,null,null,null,747572857667584,-oo6mxAs6I0H4UYxmFOcr,null,null,null,null
925.187.635-98@done.msg.net,null,ars,null,null,null,null,null,null,null,null,Aperio absens dolore avarus solum.,null,cGV10K0jpn8k8vyYuGAis,null,vergo,null,4KVUN0m7x-QGxdsroQ1Rx,null,null,null,null,null,null,null,8702342255869952,F6DKiIN4NcGTNjkgs-g-4,null,null,null,null
657.964.699-39@done.msg.net,null,peccatus,null,null,null,null,null,null,null,null,Ter comptus bibo vito adipiscor nobis blanditiis virga.,null,-48Py5gghUS4VLSso5KU2,null,apparatus,null,null,null,null,null,null,null,null,null,2803697245487104,mMJJDynj27nWAeF1JblTh,null,null,null,null
714.694.120-92@done.msg.net,null,virtus,null,null,null,null,null,null,null,null,Cubitum averto utilis vapulus demens vesco aptus ocer.,contra,L4opTtmwQz0Z5JJUun0pe,null,crinis,null,YJSP2YXsn12iWdOIo7RZF,null,null,null,null,null,null,null,4536646154321920,S45McGcU2ADzF8wivPd6W,null,null,null,null
